car names,
Abadal,
Abarth,
Abbott-Detroit,
ABT,
AC,
Cars,
Acura,
Aixam,
Alfa,
Romeo,
Alpina,
Alpine,
Alta,
Alvis,
AMC,
AMG,
Arash,
Ariel,
ARO,
Arrinera,
Artega,
Ascari,
Aston,
Martin,
Auburn,
Audi,
Austin,
Autobacs,
Autobianchi,
BAC,
Baojun,
BAIC,
Motor,
Bentley,
Berkeley,
Berliet,
Bertone,
Bitter,
Bizzarrini,
BMW,
Borgward,
Brabus,
Brammo,
Brilliance,
Bristol,
Bufori,
Bugatti,
Buick,
BYD,
Cadillac,
Carlsson,
Caterham,
Changan,
Changfeng,
Chery,
Chevrolet,
Chrysler,
Cisitalia,
Citroen,
Cizeta,
Cole,
Corre La Licorne,
Corvette,
Dacia,
Daewoo,
Daihatsu,
Dartz,
Datsun,
Delage,
DMC,
De,
Tomaso,
Detroit,
Electric,
Devel,
Sixteen,
Diatto,
DINA,
DKW,
Dodge,
Dongfeng,
Donkervoort,
DS, 
EDAG, 
Eicher, 
Elfin, 
Elva,
Englon,
Eterniti,
Facel,
Vega,
FAW,
Ferrari,
Fiat,
Fioravanti,
Fisker,
Ford,
Foton,
FPV,
Franklin,
GAC,
Group,
GAZ,
Geely,
General,
Motors,
Genesis,
Geo,
Gilbern,
Gillet,
Ginetta,
GMC,
Gonow,
Great,
Wall,
GT-R,
Gumpert,
Hafei,
Haima,
Haval,
Hawtai,
Hennessey,
Hillman,
Hindustan,
Hino,
Hispano-Suiza,
HSV,
Holden,
Hommell,
Honda,
Horch,
Hudson,
Hummer,
Hupmobile,
Hyundai,
Infiniti,
Innocenti,
Intermeccanica,
IKCO,
Isdera,
Iso,
Rivolta,
Isuzu,
Iveco,
Jaguar,
Jawa,
Jeep,
Jensen,
JMC,
Kaiser,
Karma,
Kenworth,
KIA,
Koenigsegg,
KTM,
Lada,
Lagonda,
Lamborghini,
Lancia,
Land Rover,
Landwind,
Laraki,
Lexus,
Leyland,
Ligier,
Lincoln,
Lloyd,
Lobini,
Lotus,
Luxgen,
Mack,
Mahindra,
MAN,
Marcos,
Maserati,
Mastretta,
Maxus,
Maybach,
Mazda,
Mazzanti,
McLaren,
Melkus,
Mercedes-Benz,
Mercedes,
Mercury,
Merkur,
MG,
Microcar,
Mini,
Mitsubishi,
Mitsuoka,
Morgan,
Morris,
Mosler,
Mustang,
Nissan,
Noble,
Oldsmobile,
Oltcit,
Opel,
OSCA,
Pagani,
Panhard,
Perodua,
Peterbilt,
Peugeot,
PGO,
Pierce-Arrow,
Pininfarina,
Plymouth,
Polestar,
Pontiac,
Porsche,
Praga,
Proton,
Qoros,
Rambler,
RAM,
Ranz,
Renault,
Rezvani,
Riley,
Rimac,
Rinspeed,
Roewe,
Rolls-Royce,
Rossion,
Rover,
RUF,
Saab,
SAIC,
Saipa,
Saleen,
Saturn,
Scion,
SEAT,
Shelby,
Simca,
Singer,
Skoda,
Smart,
Soueast,
Spirra,
Spyker,
SRT,
SsangYong,
SSC,
Studebaker,
Subaru,
Suzuki,
Talbot,
Tata,
Tatra,
TechArt,
Tesla,
Toyota,
Trion,
Triumph,
Troller,
TVR,
UAZ,
Vandenbrink,
Vauxhall,
Vector,
Motors,
Venturi,
Viper,
Volkswagen,
VW,
Volvo,
Wanderer,
Western,
Star,
Westfield,
Wiesmann,
Willys,
Motors,
Wuling,
Yulon,
Zastava,
Zenvo,
Zotye